movie_id,genre
175,Horror
175,Mystery
176,Fantasy
176,Animation
176,Family
177,Comedy
177,Crime
178,Comedy
178,Thriller
178,Drama
179,Action
179,Adventure
179,Science Fiction
180,Horror
180,Thriller
180,Action
180,Mystery
181,Horror
182,Music
183,Science Fiction
183,Action
184,Drama
184,Romance
185,Action
185,Crime
185,Comedy
186,Drama
187,Animation
187,Comedy
187,Family
188,Comedy
188,Drama
188,Romance
188,Music
189,Adventure
189,Fantasy
190,Action
190,Adventure
190,Science Fiction
191,Drama
191,Science Fiction
191,Mystery
192,Animation
192,Action
192,Science Fiction
193,Animation
193,Family
193,Adventure
194,Science Fiction
194,Drama
194,Romance
195,War
195,Drama
196,Adventure
196,Fantasy
197,Animation
197,Science Fiction
197,Action
198,Horror
198,Mystery
198,Thriller
199,Animation
199,Comedy
199,Family
199,Fantasy
200,Science Fiction
201,Action
201,Adventure
201,Fantasy
202,Drama
203,Action
203,Comedy
203,Romance
204,Fantasy
204,Adventure
205,Thriller
205,Crime
206,Drama
207,Drama
208,Thriller
208,Adventure
209,Adventure
209,Fantasy
209,Action
210,Science Fiction
210,Action
210,Adventure
211,Action
211,Drama
211,Science Fiction
212,Science Fiction
212,Action
212,Crime
213,Horror
213,Mystery
213,Thriller
214,Animation
214,Action
214,Adventure
214,Science Fiction
215,Animation
215,Family
216,Comedy
216,Fantasy
217,Animation
217,Comedy
217,Fantasy
217,Adventure
217,Family
218,Action
219,Adventure
219,Fantasy
220,Action
220,Adventure
220,Science Fiction
221,Animation
221,Adventure
221,Family
221,Comedy
222,Science Fiction
222,Thriller
222,Drama
223,Animation
223,Family
223,Comedy
223,Fantasy
223,Adventure
224,Drama
224,History
224,War
225,Fantasy
225,Adventure
225,Comedy
226,Action
226,Thriller
227,Animation
227,Comedy
227,Family
227,Fantasy
228,Action
228,Adventure
228,Family
228,Comedy
229,Adventure
229,Fantasy
229,Action
230,Drama
230,History
230,War
231,Action
231,Adventure
231,Science Fiction
232,Thriller
232,Drama
233,Animation
233,Action
233,Adventure
233,Comedy
233,Fantasy
233,Horror
234,Adventure
234,Action
235,Adventure
235,Comedy
235,Family
235,Fantasy
